Time (UTC)	prs(m)	rad(m)
2019-11-28 00:00:29	2.667	3.656
2019-11-28 00:01:29	2.726	3.715
2019-11-28 00:02:29	2.765	3.753
2019-11-28 00:03:29	2.734	3.723
2019-11-28 00:04:29	2.76	3.748
2019-11-28 00:05:29	2.759	3.747
2019-11-28 00:06:29	2.781	3.77
2019-11-28 00:07:29	2.782	3.771
2019-11-28 00:08:29	2.711	3.699
2019-11-28 00:09:29	2.747	3.735
2019-11-28 00:10:29	2.742	3.73
2019-11-28 00:11:29	2.802	3.79
2019-11-28 00:12:29	2.79	3.778
2019-11-28 00:13:29	2.803	3.791
2019-11-28 00:14:29	2.776	3.764
2019-11-28 00:15:29	2.897	3.886
2019-11-28 00:16:29	2.763	3.751
2019-11-28 00:17:29	2.891	3.88
2019-11-28 00:18:29	2.858	3.846
2019-11-28 00:19:29	2.841	3.829
2019-11-28 00:20:29	2.876	3.864
2019-11-28 00:21:29	2.845	3.834
2019-11-28 00:22:29	2.836	3.825
2019-11-28 00:23:29	2.84	3.828
2019-11-28 00:24:29	2.884	3.872
2019-11-28 00:25:29	2.833	3.821
2019-11-28 00:26:29	2.956	3.944
2019-11-28 00:27:29	2.879	3.868
2019-11-28 00:28:29	2.865	3.854
2019-11-28 00:29:29	2.979	3.967
2019-11-28 00:30:29	2.895	3.884
2019-11-28 00:31:29	3.016	4.005
2019-11-28 00:32:29	2.908	3.896
2019-11-28 00:33:29	2.954	3.943
2019-11-28 00:34:29	2.959	3.947
2019-11-28 00:35:29	2.957	3.945
2019-11-28 00:36:29	2.941	3.929
2019-11-28 00:37:29	2.878	3.867
2019-11-28 00:38:29	2.891	3.879
2019-11-28 00:39:29	2.976	3.964
2019-11-28 00:40:29	3	3.988
2019-11-28 00:41:29	2.928	3.916
2019-11-28 00:42:29	2.946	3.934
2019-11-28 00:43:29	2.988	3.976
2019-11-28 00:44:29	2.945	3.933
2019-11-28 00:45:29	2.991	3.979
2019-11-28 00:46:29	3.003	3.991
2019-11-28 00:47:29	3.006	3.995
2019-11-28 00:48:29	3.004	3.992
2019-11-28 00:49:29	2.977	3.966
2019-11-28 00:50:29	2.973	3.961
2019-11-28 00:51:29	3.034	4.023
2019-11-28 00:52:29	3.034	4.022
2019-11-28 00:53:29	3.084	4.073
2019-11-28 00:54:29	3.025	4.014
2019-11-28 00:55:29	3.054	4.043
2019-11-28 00:56:29	3.024	4.012
2019-11-28 00:57:29	2.957	3.945
2019-11-28 00:58:29	3.156	4.145
2019-11-28 00:59:29	3.01	3.999
2019-11-28 01:00:29	3.116	4.105
2019-11-28 01:01:29	3.092	4.081
2019-11-28 01:02:29	3.008	3.998
2019-11-28 01:03:29	3.146	4.134
