Time (UTC)	prs(m)	rad(m)
2019-11-27 00:00:47	2.494	5.197
2019-11-27 00:01:47	2.529	5.179
2019-11-27 00:02:47	2.524	5.187
2019-11-27 00:03:47	2.481	5.183
2019-11-27 00:04:47	2.531	5.208
2019-11-27 00:05:47	2.571	5.207
2019-11-27 00:06:47	2.59	5.228
2019-11-27 00:07:47	2.564	5.176
2019-11-27 00:08:47	2.638	5.277
2019-11-27 00:09:47	2.637	5.256
2019-11-27 00:10:47	2.543	5.231
2019-11-27 00:11:47	2.634	5.274
2019-11-27 00:12:47	2.691	5.275
2019-11-27 00:13:47	2.664	5.293
2019-11-27 00:14:47	2.662	5.269
2019-11-27 00:15:47	2.683	5.257
2019-11-27 00:16:47	2.635	5.251
2019-11-27 00:17:47	2.683	5.244
2019-11-27 00:18:47	2.623	5.263
2019-11-27 00:19:47	2.74	5.293
2019-11-27 00:20:47	2.675	5.311
2019-11-27 00:21:47	2.662	5.352
2019-11-27 00:22:47	2.676	5.377
2019-11-27 00:23:47	2.639	5.308
2019-11-27 00:24:47	2.684	5.269
2019-11-27 00:25:47	2.703	5.32
2019-11-27 00:26:47	2.716	5.349
2019-11-27 00:27:47	2.689	5.379
2019-11-27 00:28:47	2.751	5.37
2019-11-27 00:29:47	2.746	5.369
2019-11-27 00:30:47	2.72	5.39
2019-11-27 00:31:47	2.757	5.376
2019-11-27 00:32:47	2.709	5.373
2019-11-27 00:33:47	2.687	5.348
2019-11-27 00:34:47	2.721	5.348
2019-11-27 00:35:47	2.726	5.315
2019-11-27 00:36:47	2.727	5.315
2019-11-27 00:37:47	2.704	5.311
2019-11-27 00:38:47	2.751	5.309
2019-11-27 00:39:47	2.733	5.403
2019-11-27 00:40:47	2.795	5.407
2019-11-27 00:41:47	2.702	5.382
2019-11-27 00:42:47	2.698	5.338
2019-11-27 00:43:47	2.711	5.325
2019-11-27 00:44:47	2.696	5.338
2019-11-27 00:45:47	2.808	5.386
2019-11-27 00:46:47	2.746	5.351
2019-11-27 00:47:47	2.715	5.376
2019-11-27 00:48:47	2.771	5.4
2019-11-27 00:49:47	2.805	5.415
2019-11-27 00:50:47	2.808	5.391
2019-11-27 00:51:47	2.807	5.443
2019-11-27 00:52:47	2.783	5.402
2019-11-27 00:53:47	2.764	5.383
2019-11-27 00:54:47	2.781	5.473
2019-11-27 00:55:47	2.798	5.432
2019-11-27 00:56:47	2.801	5.414
2019-11-27 00:57:47	2.794	5.416
2019-11-27 00:58:47	2.872	5.465
2019-11-27 00:59:47	2.887	5.469
2019-11-27 01:00:47	2.809	5.496
2019-11-27 01:01:47	2.855	5.471
2019-11-27 01:02:47	2.785	5.478
2019-11-27 01:03:47	2.811	5.463
2019-11-27 01:04:47	2.815	5.473
2019-11-27 01:05:47	2.806	5.467
2019-11-27 01:06:47	2.86	5.518
2019-11-27 01:07:47	2.826	5.518
2019-11-27 01:08:47	2.847	5.517
2019-11-27 01:09:47	2.876	5.495
2019-11-27 01:10:47	2.902	5.504
2019-11-27 01:11:47	2.839	5.516
2019-11-27 01:12:47	2.838	5.508
2019-11-27 01:13:49	2.856	5.529
2019-11-27 01:14:47	2.872	5.52
2019-11-27 01:15:47	2.886	5.541
2019-11-27 01:16:47	2.854	5.538
2019-11-27 01:17:47	2.857	5.497
2019-11-27 01:18:47	2.875	5.535
2019-11-27 01:19:47	2.903	5.493
2019-11-27 01:20:47	2.899	5.532
2019-11-27 01:21:47	2.893	5.535
2019-11-27 01:22:47	2.946	5.515
2019-11-27 01:23:47	2.893	5.564
2019-11-27 01:24:47	2.868	5.555
2019-11-27 01:25:47	2.893	5.559
2019-11-27 01:26:47	2.877	5.551
2019-11-27 01:27:47	2.965	5.579
2019-11-27 01:28:47	2.955	5.578
2019-11-27 01:29:47	2.872	5.571
2019-11-27 01:30:47	2.887	5.55
2019-11-27 01:31:47	2.907	5.535
2019-11-27 01:32:47	2.908	5.557
2019-11-27 01:33:47	2.939	5.571
2019-11-27 01:34:47	2.992	5.522
2019-11-27 01:35:47	2.927	5.551
2019-11-27 01:36:47	2.967	5.568
2019-11-27 01:37:47	2.915	5.525
2019-11-27 01:38:47	2.873	5.529
2019-11-27 01:39:47	2.924	5.535
2019-11-27 01:40:47	2.911	5.567
2019-11-27 02:21:47	2.976	5.625
2019-11-27 02:22:47	2.985	5.605
2019-11-27 02:23:48	3.022	5.619
2019-11-27 02:24:48	2.92	5.647
2019-11-27 02:25:47	2.977	5.592
2019-11-27 02:26:48	3.005	5.617
2019-11-27 02:27:48	2.98	5.616
2019-11-27 02:28:48	3.02	5.632
2019-11-27 02:29:48	3.002	5.577
2019-11-27 02:30:48	2.934	5.51
2019-11-27 02:31:47	3.048	5.667
2019-11-27 02:32:47	3.013	5.641
2019-11-27 02:33:47	2.97	5.604
2019-11-27 02:34:47	2.985	5.598
2019-11-27 02:35:48	2.975	5.579
2019-11-27 02:36:48	2.983	5.59
2019-11-27 02:37:48	2.93	5.642
2019-11-27 02:38:48	2.916	5.574
2019-11-27 02:39:48	2.931	5.547
2019-11-27 02:40:47	2.998	5.566
2019-11-27 02:41:47	2.982	5.614
2019-11-27 02:42:48	3.023	5.598
2019-11-27 02:43:47	2.953	5.567
2019-11-27 02:44:47	2.905	5.536
2019-11-27 02:45:48	2.957	5.6
2019-11-27 02:46:48	2.957	5.588
2019-11-27 02:47:48	2.959	5.581
2019-11-27 02:48:48	2.913	5.593
2019-11-27 02:49:48	2.899	5.56
2019-11-27 02:50:47	2.909	5.573
2019-11-27 02:51:47	2.868	5.575
2019-11-27 02:52:48	2.855	5.577
2019-11-27 02:53:48	2.927	5.554
2019-11-27 02:54:48	2.898	5.558
2019-11-27 02:55:48	2.96	5.605
2019-11-27 02:56:48	2.901	5.586
2019-11-27 02:57:48	2.897	5.552
2019-11-27 02:58:48	2.956	5.555
2019-11-27 02:59:48	2.902	5.573
2019-11-27 03:00:47	2.899	5.586
2019-11-27 03:01:47	2.928	5.513
2019-11-27 03:02:47	2.889	5.545
2019-11-27 03:03:48	2.847	5.566
2019-11-27 03:04:48	2.864	5.552
2019-11-27 03:05:48	2.862	5.524
2019-11-27 03:06:48	2.902	5.512
2019-11-27 03:07:48	2.893	5.544
2019-11-27 03:08:48	2.933	5.523
2019-11-27 03:09:48	2.914	5.508
2019-11-27 03:10:47	2.895	5.518
2019-11-27 03:11:48	2.864	5.531
2019-11-27 03:12:48	2.853	5.553
2019-11-27 03:13:48	2.844	5.515
2019-11-27 03:14:48	2.849	5.521
2019-11-27 03:15:48	2.909	5.511
2019-11-27 03:16:48	2.865	5.491
2019-11-27 03:17:48	2.864	5.515
2019-11-27 03:18:50	2.901	5.481
2019-11-27 03:19:48	2.861	5.533
2019-11-27 03:20:48	2.89	5.492
2019-11-27 03:21:48	2.882	5.526
2019-11-27 03:22:48	2.913	5.509
2019-11-27 03:23:48	2.832	5.476
2019-11-27 03:24:48	2.853	5.514
2019-11-27 03:25:48	2.817	5.517
2019-11-27 03:26:48	2.831	5.487
2019-11-27 03:27:48	2.862	5.446
2019-11-27 03:28:48	2.877	5.415
2019-11-27 03:29:48	2.809	5.447
2019-11-27 03:30:47	2.963	5.455
2019-11-27 03:31:47	2.86	5.478
2019-11-27 03:32:48	2.823	5.467
2019-11-27 03:33:48	2.857	5.473
2019-11-27 03:34:48	2.783	5.409
2019-11-27 03:35:48	2.797	5.439
2019-11-27 03:36:48	2.811	5.411
2019-11-27 03:37:48	2.812	5.425
2019-11-27 03:38:48	2.809	5.487
2019-11-27 03:39:48	2.759	5.422
2019-11-27 03:40:47	2.773	5.39
2019-11-27 03:41:48	2.821	5.456
2019-11-27 03:42:47	2.843	5.39
2019-11-27 03:43:48	2.771	5.383
2019-11-27 03:44:48	2.747	5.407
2019-11-27 03:45:48	2.797	5.409
2019-11-27 03:46:48	2.779	5.427
2019-11-27 03:47:48	2.779	5.406
2019-11-27 03:48:48	2.734	5.34
2019-11-27 03:49:48	2.765	5.345
2019-11-27 03:50:47	2.771	5.356
2019-11-27 03:51:47	2.757	5.385
2019-11-27 03:52:48	2.728	5.386
2019-11-27 03:53:48	2.781	5.326
2019-11-27 03:54:48	2.734	5.407
2019-11-27 03:55:48	2.762	5.39
2019-11-27 03:56:48	2.748	5.413
2019-11-27 03:57:48	2.75	5.342
2019-11-27 03:58:48	2.728	5.337
2019-11-27 03:59:48	2.69	5.333
2019-11-27 04:00:48	2.628	5.347
2019-11-27 04:01:48	2.693	5.312
2019-11-27 04:02:48	2.689	5.308
2019-11-27 04:03:48	2.707	5.322
2019-11-27 04:04:48	2.709	5.334
2019-11-27 04:05:48	2.673	5.374
2019-11-27 04:06:48	2.672	5.305
2019-11-27 04:07:48	2.605	5.289
2019-11-27 04:08:48	2.695	5.289
2019-11-27 04:09:48	2.721	5.306
2019-11-27 04:10:47	2.687	5.301
2019-11-27 04:11:48	2.623	5.278
2019-11-27 04:12:48	2.581	5.278
2019-11-27 04:13:48	2.677	5.291
2019-11-27 04:14:48	2.635	5.279
2019-11-27 04:15:48	2.633	5.259
2019-11-27 04:16:48	2.596	5.236
2019-11-27 04:17:48	2.564	5.259
2019-11-27 04:18:48	2.647	5.231
2019-11-27 04:19:48	2.593	5.279
2019-11-27 04:20:48	2.543	5.237
2019-11-27 04:21:48	2.62	5.191
2019-11-27 04:22:48	2.554	5.185
2019-11-27 04:23:48	2.604	5.237
2019-11-27 04:24:48	2.591	5.254
2019-11-27 04:25:48	2.554	5.246
2019-11-27 04:26:48	2.557	5.173
2019-11-27 04:27:48	2.568	5.224
2019-11-27 04:28:48	2.522	5.192
2019-11-27 04:29:48	2.497	5.192
2019-11-27 04:30:48	2.499	5.149
2019-11-27 04:31:47	2.542	5.159
2019-11-27 04:32:48	2.517	5.162
2019-11-27 04:33:48	2.516	5.178
2019-11-27 04:34:48	2.492	5.2
2019-11-27 04:35:48	2.535	5.139
2019-11-27 04:36:48	2.561	5.089
