day,month,year,hour,min,elev
23,10,2018,22,56,2.4
23,10,2018,22,57,2.41
23,10,2018,22,58,2.42
23,10,2018,22,59,2.47
23,10,2018,23,0,2.44
23,10,2018,23,1,2.41
23,10,2018,23,2,2.43
23,10,2018,23,3,2.37
23,10,2018,23,4,2.38
23,10,2018,23,5,2.36
23,10,2018,23,6,2.41
23,10,2018,23,7,2.44
23,10,2018,23,8,2.47
23,10,2018,23,9,2.49
23,10,2018,23,10,2.49
23,10,2018,23,11,2.46
23,10,2018,23,12,2.45
23,10,2018,23,13,2.44
23,10,2018,23,14,2.44
23,10,2018,23,15,2.44
23,10,2018,23,16,2.43
23,10,2018,23,17,2.45
23,10,2018,23,18,2.49
23,10,2018,23,19,2.5
23,10,2018,23,20,2.54
23,10,2018,23,21,2.54
23,10,2018,23,22,2.51
23,10,2018,23,23,2.47
23,10,2018,23,24,2.46
23,10,2018,23,25,2.48
23,10,2018,23,26,2.47
23,10,2018,23,27,2.5
23,10,2018,23,28,2.53
23,10,2018,23,29,2.49
23,10,2018,23,30,2.56
23,10,2018,23,31,2.57
23,10,2018,23,32,2.53
23,10,2018,23,33,2.56
23,10,2018,23,39,2.61
23,10,2018,23,40,2.6
23,10,2018,23,41,2.59
23,10,2018,23,42,2.61
23,10,2018,23,43,2.63
23,10,2018,23,44,2.65
23,10,2018,23,45,2.63
23,10,2018,23,46,2.61
23,10,2018,23,47,2.63
23,10,2018,23,48,2.62
23,10,2018,23,49,2.6
23,10,2018,23,50,2.66
23,10,2018,23,51,2.65
23,10,2018,23,52,2.63
23,10,2018,23,53,2.65
23,10,2018,23,54,2.64
23,10,2018,23,55,2.6
23,10,2018,23,56,2.61
23,10,2018,23,57,2.61
23,10,2018,23,58,2.62
24,10,2018,0,9,2.7
24,10,2018,0,10,2.7
24,10,2018,0,11,2.74
24,10,2018,0,12,2.73
24,10,2018,0,13,2.74
24,10,2018,0,14,2.74
24,10,2018,0,15,2.73
24,10,2018,0,16,2.72
24,10,2018,0,17,2.73
24,10,2018,0,18,2.68
24,10,2018,0,19,2.69
24,10,2018,0,20,2.7
