Coord.Este[m],Coord.Sur[m],Profundidad[m]
0.00,0.00,156.15
0.00,30.85,186.31
0.00,61.69,234.64
0.00,92.54,282.31
0.00,123.39,296.46
0.00,154.23,304.61
0.00,185.08,305.49
0.00,215.93,299.63
0.00,246.77,295.32
0.00,277.62,292.47
0.00,308.47,288.71
0.00,339.31,297.13
0.00,370.16,310.98
0.00,401.01,321.58
0.00,431.85,331.34
0.00,462.70,337.50
0.00,493.55,338.53
0.00,524.39,338.28
0.00,555.24,337.03
0.00,586.09,335.66
0.00,616.93,333.91
0.00,647.78,331.32
0.00,678.63,326.63
0.00,709.47,319.59
0.00,740.32,312.28
0.00,771.17,304.79
0.00,802.01,297.23
0.00,832.86,289.91
0.00,863.71,282.80
0.00,894.55,275.76
0.00,925.40,268.84
0.00,956.25,261.95
0.00,987.09,255.18
0.00,1017.94,248.41
0.00,1048.79,241.61
0.00,1079.63,235.19
0.00,1110.48,229.69
0.00,1141.33,224.30
0.00,1172.17,221.46
0.00,1203.02,220.23
0.00,1233.87,216.54
0.00,1264.71,210.52
0.00,1295.56,202.96
0.00,1326.41,193.17
0.00,1357.25,175.68
0.00,1388.10,158.36
0.00,1418.95,141.48
0.00,1449.79,130.29
0.00,1480.64,123.73
0.00,1511.49,120.29
0.00,1542.34,120.01
0.00,1573.18,121.88
0.00,1604.03,124.16
0.00,1634.88,125.92
0.00,1665.72,126.90
0.00,1696.57,126.94
0.00,1727.42,126.01
0.00,1758.26,124.47
0.00,1789.11,122.76
0.00,1819.96,121.06
0.00,1850.80,119.19
0.00,1881.65,116.87
0.00,1912.50,113.93
0.00,1943.34,109.57
0.00,1974.19,104.75
0.00,2005.04,103.02
0.00,2035.88,101.92
0.00,2066.73,100.58
0.00,2097.58,99.96
0.00,2128.42,99.98
0.00,2159.27,100.44
0.00,2190.12,101.11
0.00,2220.96,101.94
0.00,2251.81,103.10
0.00,2282.66,104.76
0.00,2313.50,107.73
0.00,2344.35,112.48
0.00,2375.20,117.82
0.00,2406.04,123.75
0.00,2436.89,129.76
0.00,2467.74,134.41
0.00,2498.58,139.22
0.00,2529.43,143.82
0.00,2560.28,150.59
0.00,2591.12,160.66
0.00,2621.97,170.21
0.00,2652.82,182.37
0.00,2683.66,192.07
0.00,2714.51,195.95
0.00,2745.36,198.11
0.00,2776.20,198.24
0.00,2807.05,193.59
0.00,2837.90,186.30
0.00,2868.74,180.04
0.00,2899.59,175.25
0.00,2930.44,172.34
0.00,2961.28,170.54
0.00,2992.13,169.52
0.00,3022.98,169.55
0.00,3053.82,169.86
0.00,3084.67,169.66
0.00,3115.52,168.46
0.00,3146.36,166.15
0.00,3177.21,162.06
0.00,3208.06,155.86
0.00,3238.90,149.74
0.00,3269.75,144.13
0.00,3300.60,138.83
0.00,3331.44,134.49
0.00,3362.29,130.95
0.00,3393.14,127.19
0.00,3423.98,123.22
0.00,3454.83,119.57
0.00,3485.68,115.04
0.00,3516.52,110.73
0.00,3547.37,108.88
0.00,3578.22,109.15
0.00,3609.06,109.90
0.00,3639.91,110.68
0.00,3670.76,110.95
0.00,3701.60,110.32
0.00,3732.45,107.56
0.00,3763.30,102.64
0.00,3794.14,96.52
0.00,3824.99,89.94
0.00,3855.84,83.50
0.00,3886.68,77.03
0.00,3917.53,70.85
0.00,3948.38,65.06
0.00,3979.22,60.31
0.00,4010.07,56.88
0.00,4040.92,54.17
0.00,4071.76,52.15
0.00,4102.61,50.25
0.00,4133.46,48.73
0.00,4164.30,47.49
0.00,4195.15,46.36
0.00,4226.00,45.30
0.00,4256.84,44.22
0.00,4287.69,43.19
0.00,4318.54,42.24
0.00,4349.38,41.40
0.00,4380.23,40.90
0.00,4411.08,40.49
0.00,4441.92,40.14
0.00,4472.77,39.82
0.00,4503.62,39.49
0.00,4534.46,39.05
0.00,4565.31,38.54
0.00,4596.16,37.98
0.00,4627.01,37.40
0.00,4657.85,36.89
0.00,4688.70,36.46
0.00,4719.55,35.99
0.00,4750.39,35.51
0.00,4781.24,35.08
0.00,4812.09,34.61
0.00,4842.93,34.12
0.00,4873.78,33.60
0.00,4904.63,33.10
0.00,4935.47,32.57
0.00,4966.32,32.00
0.00,4997.17,31.51
0.00,5028.01,31.10
0.00,5058.86,30.79
0.00,5089.71,30.54
0.00,5120.55,30.34
0.00,5151.40,30.23
0.00,5182.25,30.11
0.00,5213.09,30.01
0.00,5243.94,29.95
0.00,5274.79,29.89
0.00,5305.63,29.78
0.00,5336.48,29.63
0.00,5367.33,29.37
0.00,5398.17,29.03
0.00,5429.02,28.64
0.00,5459.87,28.22
0.00,5490.71,27.83
0.00,5521.56,27.47
0.00,5552.41,27.23
0.00,5583.25,27.15
0.00,5614.10,27.12
0.00,5644.95,27.13
0.00,5675.79,27.16
0.00,5706.64,27.16
0.00,5737.49,27.13
0.00,5768.33,27.06
0.00,5799.18,27.00
0.00,5830.03,26.93
0.00,5860.87,26.79
0.00,5891.72,26.58
0.00,5922.57,26.39
0.00,5953.41,26.22
0.00,5984.26,26.09
0.00,6015.11,26.00
0.00,6045.95,25.89
0.00,6076.80,25.76
0.00,6107.65,25.60
0.00,6138.49,25.39
0.00,6169.34,25.17
0.00,6200.19,24.99
0.00,6231.03,24.88
0.00,6261.88,24.80
0.00,6292.73,24.75
0.00,6323.57,24.72
0.00,6354.42,24.68
0.00,6385.27,24.65
0.00,6416.11,24.63
0.00,6446.96,24.60
0.00,6477.81,24.59
0.00,6508.65,24.59
0.00,6539.50,24.59
0.00,6570.35,24.61
0.00,6601.19,24.63
0.00,6632.04,24.67
0.00,6662.89,24.71
0.00,6693.73,24.76
0.00,6724.58,24.80
0.00,6755.43,24.83
0.00,6786.27,24.85
0.00,6817.12,24.82
0.00,6847.97,24.77
0.00,6878.81,24.70
0.00,6909.66,24.61
0.00,6940.51,24.52
0.00,6971.35,24.42
0.00,7002.20,24.30
0.00,7033.05,24.15
0.00,7063.89,23.96
0.00,7094.74,23.59
0.00,7125.59,23.14
0.00,7156.43,22.73
0.00,7187.28,22.36
0.00,7218.13,22.04
0.00,7248.97,21.78
0.00,7279.82,21.59
0.00,7310.67,21.46
0.00,7341.51,21.35
0.00,7372.36,21.24
0.00,7403.21,21.13
0.00,7434.05,21.02
0.00,7464.90,20.91
0.00,7495.75,20.80
0.00,7526.59,20.68
0.00,7557.44,20.57
0.00,7588.29,20.48
0.00,7619.13,20.48
0.00,7649.98,20.59
0.00,7680.83,20.76
0.00,7711.68,21.01
0.00,7742.52,21.13
0.00,7773.37,21.12
0.00,7804.22,21.09
0.00,7835.06,21.00
0.00,7865.91,20.87
0.00,7896.76,20.75
0.00,7927.60,20.61
0.00,7958.45,20.48
0.00,7989.30,20.34
0.00,8020.14,20.21
0.00,8050.99,20.08
0.00,8081.84,19.97
0.00,8112.68,19.84
0.00,8143.53,19.72
0.00,8174.38,19.58
0.00,8205.22,19.43
26.11,0.00,154.99
26.11,30.85,184.03
26.11,61.69,227.34
26.11,92.54,271.74
26.11,123.39,280.15
26.11,154.23,283.57
26.11,185.08,279.96
26.11,215.93,269.09
26.11,246.77,258.89
26.11,277.62,251.31
26.11,308.47,247.34
26.11,339.31,258.19
26.11,370.16,276.31
26.11,401.01,292.68
26.11,431.85,308.51
26.11,462.70,321.47
26.11,493.55,328.93
26.11,524.39,332.16
26.11,555.24,330.96
26.11,586.09,329.24
26.11,616.93,326.81
26.11,647.78,323.71
26.11,678.63,319.27
26.11,709.47,312.77
26.11,740.32,306.19
26.11,771.17,299.43
26.11,802.01,292.52
26.11,832.86,285.69
26.11,863.71,278.94
26.11,894.55,272.16
26.11,925.40,265.35
26.11,956.25,258.51
26.11,987.09,251.77
26.11,1017.94,245.04
26.11,1048.79,238.28
26.11,1079.63,232.02
26.11,1110.48,226.75
26.11,1141.33,221.71
26.11,1172.17,219.88
26.11,1203.02,219.07
26.11,1233.87,216.11
26.11,1264.71,210.37
26.11,1295.56,202.81
26.11,1326.41,192.89
26.11,1357.25,175.64
26.11,1388.10,158.53
26.11,1418.95,141.78
26.11,1449.79,130.38
26.11,1480.64,122.81
26.11,1511.49,118.02
26.11,1542.34,116.27
26.11,1573.18,116.76
26.11,1604.03,117.74
26.11,1634.88,118.64
26.11,1665.72,119.02
26.11,1696.57,118.47
26.11,1727.42,117.14
26.11,1758.26,115.54
26.11,1789.11,113.95
26.11,1819.96,112.37
26.11,1850.80,110.90
26.11,1881.65,109.12
26.11,1912.50,107.18
26.11,1943.34,103.97
26.11,1974.19,99.31
26.11,2005.04,97.74
26.11,2035.88,96.94
26.11,2066.73,95.92
26.11,2097.58,95.40
26.11,2128.42,95.67
26.11,2159.27,96.09
26.11,2190.12,96.71
26.11,2220.96,97.24
26.11,2251.81,97.96
26.11,2282.66,99.21
26.11,2313.50,102.22
26.11,2344.35,107.01
26.11,2375.20,112.10
26.11,2406.04,117.43
26.11,2436.89,122.56
26.11,2467.74,126.08
26.11,2498.58,130.31
26.11,2529.43,134.95
26.11,2560.28,141.71
26.11,2591.12,152.38
26.11,2621.97,162.94
26.11,2652.82,176.61
26.11,2683.66,187.46
26.11,2714.51,191.71
26.11,2745.36,193.21
26.11,2776.20,190.94
26.11,2807.05,185.56
26.11,2837.90,177.23
26.11,2868.74,170.09
26.11,2899.59,164.68
26.11,2930.44,160.91
26.11,2961.28,158.91
26.11,2992.13,159.32
26.11,3022.98,159.66
26.11,3053.82,160.51
26.11,3084.67,161.35
26.11,3115.52,161.10
26.11,3146.36,159.66
26.11,3177.21,155.54
26.11,3208.06,149.74
26.11,3238.90,143.60
26.11,3269.75,137.45
26.11,3300.60,131.59
26.11,3331.44,126.69
26.11,3362.29,122.78
26.11,3393.14,119.07
26.11,3423.98,115.33
26.11,3454.83,111.58
26.11,3485.68,107.27
26.11,3516.52,104.02
26.11,3547.37,103.61
26.11,3578.22,104.54
26.11,3609.06,105.69
26.11,3639.91,106.32
26.11,3670.76,106.64
26.11,3701.60,106.18
26.11,3732.45,104.12
26.11,3763.30,99.79
26.11,3794.14,94.14
26.11,3824.99,87.63
26.11,3855.84,80.89
26.11,3886.68,73.85
26.11,3917.53,67.18
26.11,3948.38,61.32
26.11,3979.22,56.76
26.11,4010.07,53.55
26.11,4040.92,51.17
26.11,4071.76,49.69
26.11,4102.61,48.47
26.11,4133.46,47.38
26.11,4164.30,46.33
26.11,4195.15,45.33
26.11,4226.00,44.28
26.11,4256.84,43.20
26.11,4287.69,42.15
26.11,4318.54,41.17
26.11,4349.38,40.30
26.11,4380.23,39.80
26.11,4411.08,39.38
26.11,4441.92,39.04
26.11,4472.77,38.77
26.11,4503.62,38.48
26.11,4534.46,38.16
26.11,4565.31,37.76
26.11,4596.16,37.29
26.11,4627.01,36.79
26.11,4657.85,36.33
26.11,4688.70,35.98
26.11,4719.55,35.66
26.11,4750.39,35.25
26.11,4781.24,34.85
26.11,4812.09,34.43
26.11,4842.93,33.98
26.11,4873.78,33.48
26.11,4904.63,32.95
26.11,4935.47,32.41
26.11,4966.32,31.84
26.11,4997.17,31.36
26.11,5028.01,30.96
26.11,5058.86,30.65
26.11,5089.71,30.40
26.11,5120.55,30.23
26.11,5151.40,30.14
26.11,5182.25,30.04
26.11,5213.09,29.93
26.11,5243.94,29.85
26.11,5274.79,29.79
26.11,5305.63,29.70
26.11,5336.48,29.55
26.11,5367.33,29.29
26.11,5398.17,28.95
26.11,5429.02,28.55
26.11,5459.87,28.13
26.11,5490.71,27.74
26.11,5521.56,27.40
26.11,5552.41,27.17
26.11,5583.25,27.09
26.11,5614.10,27.05
26.11,5644.95,27.05
26.11,5675.79,27.06
26.11,5706.64,27.07
26.11,5737.49,27.05
26.11,5768.33,27.01
