Date,Q[m³/s]
1990-01-01,143.00000
1990-01-02,135.00000
1990-01-03,95.80000
1990-01-04,89.70000
1990-01-05,86.50000
1990-01-06,90.20000
1990-01-07,103.00000
1990-01-08,113.00000
1990-01-09,102.00000
1990-01-10,95.70000
1990-01-11,91.20000
1990-01-12,87.10000
1990-01-13,76.80000
1990-01-14,68.70000
1990-01-15,74.90000
1990-01-16,67.70000
1990-01-17,63.00000
1990-01-18,52.80000
1990-01-19,46.90000
1990-01-20,47.40000
1990-01-21,48.90000
1990-01-22,61.20000
1990-01-23,54.70000
1990-01-24,49.40000
1990-01-25,47.00000
1990-01-26,51.80000
1990-01-27,59.70000
1990-01-28,66.50000
1990-01-29,71.40000
1990-01-30,62.60000
1990-01-31,56.90000
1990-02-01,55.10000
1990-02-02,56.60000
1990-02-03,57.90000
1990-02-04,59.90000
1990-02-05,71.10000
1990-02-06,67.30000
1990-02-07,60.50000
1990-02-08,58.70000
1990-02-09,56.10000
1990-02-10,55.40000
1990-02-11,62.70000
1990-02-12,89.40000
1990-02-13,56.30000
1990-02-14,48.70000
1990-02-15,51.90000
1990-02-16,50.60000
1990-02-17,51.40000
1990-02-18,59.10000
1990-02-19,65.40000
1990-02-20,55.90000
1990-02-21,46.90000
1990-02-22,42.00000
1990-02-23,41.90000
1990-02-24,40.30000
1990-02-25,42.50000
1990-02-26,46.40000
1990-02-27,40.50000
1990-02-28,40.80000
1990-03-01,43.30000
1990-03-02,42.10000
1990-03-03,40.00000
1990-03-04,45.90000
1990-03-05,53.40000
1990-03-06,48.20000
1990-03-07,45.20000
1990-03-08,43.00000
1990-03-09,42.60000
1990-03-10,42.90000
1990-03-11,47.30000
1990-03-12,52.70000
1990-03-13,46.70000
1990-03-14,43.60000
1990-03-15,42.70000
1990-03-16,42.00000
1990-03-17,41.30000
1990-03-18,46.10000
1990-03-19,49.70000
1990-03-20,46.00000
1990-03-21,42.10000
1990-03-22,43.30000
1990-03-23,45.80000
1990-03-24,47.50000
1990-03-25,49.70000
1990-03-26,52.50000
1990-03-27,46.60000
1990-03-28,45.10000
1990-03-29,51.40000
1990-03-30,77.40000
1990-03-31,85.20000
1990-04-01,82.00000
1990-04-02,80.00000
1990-04-03,72.30000
1990-04-04,68.80000
1990-04-05,67.50000
1990-04-06,63.90000
1990-04-07,61.30000
1990-04-08,61.00000
1990-04-09,64.20000
1990-04-10,56.90000
1990-04-11,53.30000
1990-04-12,53.20000
1990-04-13,58.70000
1990-04-14,66.10000
1990-04-15,64.80000
1990-04-16,63.00000
1990-04-17,60.00000
1990-04-18,57.40000
1990-04-19,56.30000
1990-04-20,59.20000
1990-04-21,63.40000
1990-04-22,66.20000
1990-04-23,67.50000
1990-04-24,65.50000
1990-04-25,64.40000
1990-04-26,63.90000
1990-04-27,67.50000
1990-04-28,69.70000
1990-04-29,70.60000
1990-04-30,70.60000
1990-05-01,65.50000
1990-05-02,67.00000
1990-05-03,68.70000
1990-05-04,70.10000
1990-05-05,71.10000
1990-05-06,75.80000
1990-05-07,74.40000
1990-05-08,71.80000
1990-05-09,71.60000
1990-05-10,87.10000
1990-05-11,99.20000
1990-05-12,96.50000
1990-05-13,92.40000
1990-05-14,84.50000
1990-05-15,82.20000
1990-05-16,80.00000
1990-05-17,80.00000
1990-05-18,77.60000
1990-05-19,78.30000
1990-05-20,76.80000
1990-05-21,74.60000
1990-05-22,72.70000
1990-05-23,68.90000
1990-05-24,69.00000
1990-05-25,68.80000
1990-05-26,68.80000
1990-05-27,71.60000
1990-05-28,71.80000
1990-05-29,69.50000
1990-05-30,71.50000
1990-05-31,73.30000
1990-06-01,71.70000
1990-06-02,69.80000
1990-06-03,71.60000
1990-06-04,75.20000
1990-06-05,74.50000
1990-06-06,70.60000
1990-06-07,69.00000
1990-06-08,67.30000
1990-06-09,67.40000
1990-06-10,70.70000
1990-06-11,70.90000
1990-06-12,70.00000
1990-06-13,70.30000
1990-06-14,67.60000
1990-06-15,68.20000
1990-06-16,65.00000
1990-06-17,66.40000
1990-06-18,67.90000
1990-06-19,66.00000
1990-06-20,64.20000
1990-06-21,65.10000
1990-06-22,66.30000
1990-06-23,73.70000
1990-06-24,77.50000
1990-06-25,77.20000
1990-06-26,73.40000
1990-06-27,70.70000
1990-06-28,68.70000
1990-06-29,65.60000
1990-06-30,66.90000
1990-07-01,68.00000
1990-07-02,71.20000
1990-07-03,69.80000
1990-07-04,67.60000
1990-07-05,67.00000
1990-07-06,65.90000
1990-07-07,79.80000
1990-07-08,174.00000
1990-07-09,130.00000
1990-07-10,114.00000
1990-07-11,102.00000
1990-07-12,96.80000
1990-07-13,96.10000
1990-07-14,93.80000
1990-07-15,92.40000
1990-07-16,98.90000
1990-07-17,190.00000
1990-07-18,163.00000
1990-07-19,124.00000
1990-07-20,112.00000
1990-07-21,108.00000
1990-08-23,59.90000
1990-08-24,58.20000
1990-08-25,55.60000
1990-08-26,53.60000
1990-08-27,53.60000
1990-08-28,46.20000
1990-08-29,41.10000
1990-08-30,39.20000
1990-08-31,106.00000
1990-09-01,168.00000
1990-09-02,117.00000
1990-09-03,114.00000
1990-09-04,107.00000
1990-09-05,98.80000
1990-09-06,98.70000
1990-09-07,97.70000
1990-09-08,94.30000
1990-09-09,88.30000
1990-09-10,84.00000
1990-09-11,81.40000
1990-09-12,79.80000
1990-09-13,73.20000
1990-09-14,62.10000
1990-09-15,52.90000
1990-09-16,51.50000
1990-09-17,56.30000
1990-09-18,56.00000
1990-09-19,72.40000
1990-09-20,125.00000
1990-09-21,96.40000
1990-09-22,79.40000
1990-09-23,74.20000
1990-09-24,73.60000
1990-09-25,62.00000
1990-09-26,59.50000
1990-09-27,62.40000
1990-09-28,57.90000
1990-09-29,49.80000
1990-09-30,44.90000
1990-10-01,47.50000
1990-10-02,44.30000
1990-10-13,49.80000
1990-10-14,45.10000
1990-10-15,45.00000
1990-10-16,39.50000
1990-10-17,31.80000
1990-10-18,28.80000
1990-10-19,27.70000
1990-10-20,25.90000
1990-10-21,31.20000
1990-10-22,36.50000
1990-10-23,36.10000
1990-10-24,37.50000
1990-10-25,39.50000
1990-10-26,36.30000
1990-10-27,40.20000
1990-10-28,42.40000
1990-10-29,43.90000
1990-10-30,36.40000
1990-10-31,33.30000
1990-11-01,33.10000
1990-11-02,37.50000
1990-11-03,32.80000
1990-11-04,33.10000
1990-11-05,36.90000
1990-11-06,28.70000
1990-11-07,23.90000
1990-11-08,21.20000
1990-11-09,20.20000
1990-11-10,19.00000
1990-11-11,20.70000
1990-11-12,40.20000
1990-11-13,35.30000
1990-11-14,29.70000
1990-11-15,25.90000
1990-11-16,24.60000
1990-11-17,23.90000
1990-11-18,32.40000
1990-11-19,59.80000
1990-11-20,62.10000
1990-11-21,47.10000
1990-11-22,38.50000
1990-11-23,41.90000
1990-11-24,59.40000
1990-11-25,91.00000
1990-11-26,111.00000
1990-11-27,91.10000
1990-11-28,78.20000
1990-11-29,75.80000
1990-11-30,68.90000
1990-12-01,51.00000
1990-12-02,52.40000
